Date,Price,Open,High,Low,Vol.,Change %
8/25/2010,"5,117.24","5,148.80","5,168.50","5,068.80",0,-0.75
8/24/2010,"5,155.95","5,202.60","5,203.00","5,106.50",0,-1.51
8/23/2010,"5,234.84","5,214.00","5,268.80","5,184.50",0,0.76
8/20/2010,"5,195.28","5,208.80","5,232.50","5,158.80",0,-0.31
8/19/2010,"5,211.29","5,321.70","5,337.30","5,202.80",0,-1.73
8/18/2010,"5,302.87","5,326.40","5,331.30","5,294.80",0,-0.89
8/17/2010,"5,350.55","5,288.50","5,355.30","5,273.30",0,1.41
8/16/2010,"5,276.10","5,277.30","5,304.80","5,226.50",0,0.01
8/13/2010,"5,275.44","5,299.10","5,308.80","5,225.30",0,0.18
8/12/2010,"5,266.06","5,220.80","5,274.00","5,208.80",0,0.4
8/11/2010,"5,245.21","5,336.30","5,340.50","5,241.80",0,-2.44
8/10/2010,"5,376.41","5,394.90","5,407.80","5,346.80",0,-0.63
8/9/2010,"5,410.52","5,392.30","5,420.80","5,387.80",0,1.47
8/6/2010,"5,332.39","5,391.10","5,409.50","5,306.80",0,-0.62
8/5/2010,"5,365.78","5,392.90","5,418.30","5,356.80",0,-0.38
8/4/2010,"5,386.16","5,380.10","5,406.80","5,317.30",0,-0.19
8/3/2010,"5,396.48","5,390.20","5,399.30","5,353.00",0,-0.01
8/2/2010,"5,397.11","5,305.00","5,402.80","5,300.00",0,2.65
7/30/2010,"5,258.02","5,294.50","5,322.50","5,244.30",0,-1.05
7/29/2010,"5,313.95","5,328.40","5,375.50","5,302.00",0,-0.96
7/27/2010,"5,365.67","5,361.00","5,412.80","5,351.30",0,0.27
7/26/2010,"5,351.12","5,352.80","5,354.30","5,301.30",0,0.72
7/23/2010,"5,312.62","5,321.30","5,328.30","5,273.00",0,-0.02
7/22/2010,"5,313.81","5,185.10","5,320.80","5,177.50",0,1.9
7/21/2010,"5,214.64","5,186.90","5,245.30","5,183.00",0,1.46
7/20/2010,"5,139.46","5,172.90","5,175.30","5,089.00",0,-0.17
7/19/2010,"5,148.28","5,129.80","5,198.00","5,113.00",0,-0.21
7/16/2010,"5,158.90","5,211.30","5,273.60","5,153.30",0,-1.01
7/15/2010,"5,211.30","5,253.50","5,268.40","5,187.50",0,-0.8
7/14/2010,"5,253.50","5,271.00","5,287.30","5,205.80",0,-0.33
7/13/2010,"5,271.00","5,167.00","5,272.30","5,167.00",0,2.01
7/12/2010,"5,167.00","5,132.90","5,193.20","5,128.60",0,0.66
